Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
361040,Респ,Кабардино-Балкарская,,,г,Прохладный,,,0700000200000,22973a33-7a1c-449d-9535-def88bd91ed3,4: город,0,83410000000,83710000,0716,UTC+3,43.7589521,44.0101936,Северо-Кавказский,59595
361621,Респ,Кабардино-Балкарская,р-н,Эльбрусский,г,Тырныауз,,,0701000100000,e0ee885d-786e-457e-9568-2def04ee83b0,4: город,1,83248501000,83648101,0720,UTC+3,43.3981939,42.9215127,Северо-Кавказский,21000
238340,обл,Калининградская,,,г,Светлый,,,3900000600000,6d379259-b8d5-4cca-9412-1ded0849fd1a,4: город,0,27425000000,27725000001,3917,UTC+2,54.6774051,20.1356625,Северо-Западный,21380
249950,обл,Калужская,р-н,Медынский,г,Медынь,,,4001600100000,df03aec4-0859-4f40-9f51-90b2ed2f83ef,4: город,1,29225501000,29625101,4004,UTC+3,54.9690755,35.887313,Центральный,8298
652840,обл,Кемеровская,,,г,Мыски,,,4200000600000,070a8e7b-038f-48c8-9eed-16a6c03ab899,4: город,0,32428000000,32728000001,4214,UTC+7,53.7125516,87.8056657,Сибирский,43029
652560,обл,Кемеровская,,,г,Полысаево,,,4200001100000,34ac1b24-f541-4279-abfb-466f80ed1f7b,4: город,0,32435000000,32732000001,4212,UTC+7,54.6053968,86.2808803,Сибирский,27624
612960,обл,Кировская,р-н,Вятскополянский,г,Вятские Поляны,,,4300800100000,7ad714c1-1136-4c39-84c1-17e15dbc5aab,4: город,1,33404000000,33704000,4307,UTC+3,56.2286058,51.0614666,Приволжский,35159
612920,обл,Кировская,р-н,Малмыжский,г,Малмыж,,,4301800100000,2193594d-ddaf-42b6-9dfe-95cda00ba520,4: город,1,33223501000,33623101001,4307,UTC+3,56.5243722,50.6782757,Приволжский,8265
169570,Респ,Коми,,,г,Вуктыл,,,1100000300000,f69a676b-8ede-4a19-80b6-6db85a12b5e1,4: город,0,87412000000,87712000001,1102,UTC+3,63.8615209,57.3165207,Северо-Западный,12357
167000,Респ,Коми,,,г,Сыктывкар,,,1100000100000,d2944a73-daf4-4a08-9b34-d9b0af7785a1,4: город,2,87401000000,87701000001,1100,UTC+3,61.668789,50.8356491,Северо-Западный,235006
353380,край,Краснодарский,р-н,Крымский,г,Крымск,,,2301800100000,ae6c6804-3c18-4337-bb6e-7479a8cb64f6,4: город,1,03415000000,03625101001,2300,UTC+3,44.9344108,37.9855314,Южный,57370
352680,край,Краснодарский,р-н,Апшеронский,г,Хадыженск,,,2300400200000,e27ea530-bc56-43b3-8ff7-24db68ae2760,4: город,0,03205509000,03605109001,2300,UTC+3,44.412303,39.5319151,Южный,21580
663960,край,Красноярский,р-н,Рыбинский,г,Заозерный,,,2403301500000,1f8ea2c9-d6f7-4c30-b76d-2aa81640732e,4: город,0,04247501000,04647101,2448,UTC+7,55.9617268,94.7091037,Сибирский,10683
662310,край,Красноярский,,,г,Шарыпово,,,2400001900000,e21e9175-86f9-4e24-b129-abdee0f956dc,4: город,0,04440000000,04740000,2459,UTC+7,55.5389684,89.1801557,Сибирский,38570
297345,Респ,Крым,р-н,Кировский,г,Старый Крым,,,9100400100000,3f9914af-d6b7-47bb-9787-a12a6cf5d1d2,4: город,0,35216504000,35616104,9108,UTC+3,45.0290659,35.0900885,Южный,9485
641430,обл,Курганская,р-н,Куртамышский,г,Куртамыш,,,4501000100000,167681ea-0c54-48e2-8c4b-c03f71c9c248,4: город,1,37216501000,37616101,4524,UTC+5,54.9368491,64.4203009,Уральский,17098
307370,обл,Курская,р-н,Рыльский,г,Рыльск,,,4602000100000,fa2b3c62-6e92-4155-a981-d19ea4999342,4: город,1,38234501000,38634101001,4620,UTC+3,51.568165,34.6802178,Центральный,15667
306509,обл,Курская,,,г,Щигры,,,4600000500000,9382c84c-3d08-4136-a674-9402da0b9e40,4: город,1,38415000000,38715000,4600,UTC+3,51.8787808,36.8910674,Центральный,17043
188800,обл,Ленинградская,р-н,Выборгский,г,Выборг,,,4700600100000,a4a3e3af-ce5a-4eba-9aae-36c350fa7fec,4: город,1,41417000000,41615101001,4704,UTC+3,60.7130748,28.7328813,Северо-Западный,80013
188909,обл,Ленинградская,р-н,Выборгский,г,Высоцк,,,4700600200000,f0a4b813-7189-4bd4-8a3a-aaa7fbed4711,4: город,0,41215504000,41615104,4704,UTC+3,60.6296511,28.5709914,Северо-Западный,1244
188560,обл,Ленинградская,р-н,Сланцевский,г,Сланцы,,,4701600100000,a7a1a8e5-45b2-4542-b718-0976702ccd90,4: город,1,41451000000,41642101,4707,UTC+3,59.1178693,28.088106,Северо-Западный,33587
188540,обл,Ленинградская,,,г,Сосновый Бор,,,4700000400000,f4a4b31f-9f0a-4fdb-804c-d67661085eb4,4: город,0,41454000000,41754000,4700,UTC+3,59.8772921,29.1290866,Северо-Западный,65901
